property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,75,4.0,4.0,3.0,3.0,3160.0,0.0,1.0,0.0,1.0,2,1.0,13.0,1.0,4.5
1,39,5.0,5.0,3.0,1.0,4770.0,1.0,1.0,1.0,1.0,2,2.0,17.0,2.0,8.5
0,9,2.0,2.0,1.0,3.0,579.0,0.0,0.0,0.0,0.0,2,2.0,5.0,2.0,0.4
0,2,4.0,4.0,3.0,0.0,2219.0,0.0,0.0,0.0,0.0,1,1.0,11.0,2.0,0.9
0,59,5.0,7.0,3.0,0.0,5850.0,0.0,1.0,0.0,1.0,1,2.0,17.0,1.0,5.0
0,86,3.0,3.0,2.0,4.0,1504.0,0.0,0.0,0.0,0.0,1,2.0,8.0,1.0,1.9
0,96,3.0,3.0,3.0,3.0,1650.0,1.0,0.0,0.0,0.0,2,0.0,10.0,2.0,1.24
0,39,3.0,3.0,3.0,4.0,585.0,0.0,0.0,0.0,0.0,1,2.0,9.0,1.0,1.4
0,107,2.0,2.0,2.0,1.0,819.0,1.0,0.0,0.0,0.0,1,2.0,7.0,0.0,0.46
0,1,2.0,2.0,2.0,4.0,1130.0,0.0,0.0,0.0,0.0,1,2.0,6.0,2.0,1.38
0,4,3.0,4.0,3.0,0.0,1747.0,0.0,1.0,0.0,0.0,1,2.0,11.0,0.0,1.82
0,111,2.0,2.0,3.0,1.0,669.0,0.0,0.0,0.0,0.0,1,1.0,7.0,0.0,0.4
0,2,3.0,3.0,3.0,0.0,1900.0,0.0,1.0,0.0,0.0,1,2.0,10.0,2.0,0.86
0,80,3.0,3.0,2.0,3.0,2194.0,1.0,0.0,0.0,0.0,1,2.0,9.0,2.0,1.65
0,66,3.0,3.0,3.0,4.0,2582.0,0.0,0.0,0.0,0.0,1,1.0,9.0,2.0,3.78
0,4,3.0,3.0,3.0,3.0,1317.0,0.0,1.0,0.0,0.0,1,2.0,10.0,2.0,1.42
0,11,3.0,3.0,3.0,3.0,1466.0,0.0,0.0,1.0,0.0,1,2.0,10.0,2.0,1.4
0,107,2.0,2.0,0.0,3.0,759.0,0.0,0.0,0.0,0.0,1,1.0,4.0,1.0,0.27
0,98,2.0,2.0,1.0,1.0,564.0,1.0,1.0,0.0,1.0,1,2.0,9.0,1.0,0.42
0,109,2.0,2.0,1.0,3.0,619.0,0.0,0.0,0.0,0.0,1,2.0,6.0,2.0,0.26
0,107,3.0,2.0,2.0,3.0,771.0,0.0,0.0,0.0,0.0,1,1.0,7.0,2.0,0.4
0,63,4.0,4.0,3.0,3.0,2000.0,0.0,1.0,0.0,0.0,2,1.0,13.0,2.0,2.05
0,105,4.0,4.0,2.0,0.0,1574.0,0.0,0.0,1.0,0.0,0,2.0,11.0,1.0,0.87
0,98,3.0,4.0,3.0,3.0,1704.0,0.0,1.0,0.0,0.0,1,2.0,11.0,2.0,1.65
1,18,3.0,3.0,0.0,1.0,574.0,0.0,0.0,0.0,1.0,1,1.0,7.0,1.0,0.42
0,73,4.0,4.0,3.0,3.0,1750.0,1.0,1.0,0.0,0.0,2,2.0,13.0,2.0,2.75
0,110,3.0,3.0,2.0,2.0,1441.0,0.0,0.0,0.0,0.0,2,1.0,8.0,1.0,0.88
0,104,3.0,3.0,3.0,3.0,1700.0,0.0,0.0,0.0,0.0,1,2.0,9.0,2.0,1.4
0,73,3.0,3.0,3.0,0.0,3025.0,1.0,0.0,0.0,0.0,0,1.0,10.0,2.0,5.9
0,92,2.0,2.0,3.0,3.0,955.0,0.0,0.0,0.0,0.0,1,2.0,7.0,1.0,0.82
0,92,4.0,5.0,3.0,3.0,3079.0,1.0,1.0,0.0,0.0,2,0.0,14.0,2.0,3.3
0,105,3.0,3.0,1.0,1.0,720.0,0.0,0.0,0.0,0.0,0,2.0,7.0,0.0,0.5
0,78,4.0,5.0,3.0,3.0,2200.0,0.0,1.0,0.0,0.0,1,0.0,13.0,2.0,1.8
0,65,4.0,5.0,3.0,3.0,3222.0,1.0,1.0,0.0,1.0,2,1.0,16.0,0.0,4.85
0,87,3.0,3.0,3.0,1.0,1600.0,0.0,1.0,0.0,0.0,2,1.0,10.0,1.0,1.79
0,109,3.0,5.0,3.0,3.0,1790.0,0.0,1.0,0.0,0.0,1,1.0,13.0,2.0,1.13
0,92,3.0,4.0,3.0,3.0,1889.0,0.0,1.0,0.0,0.0,0,2.0,11.0,0.0,2.29
0,111,1.0,1.0,1.0,1.0,443.0,0.0,0.0,0.0,0.0,1,1.0,3.0,2.0,0.26
1,18,2.0,3.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,1,1.0,8.0,2.0,0.6
0,107,2.0,2.0,2.0,3.0,504.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,0.29
1,3,4.0,3.0,2.0,3.0,1300.0,0.0,0.0,0.0,0.0,1,1.0,9.0,2.0,1.85
0,25,2.0,2.0,3.0,2.0,1593.0,0.0,0.0,0.0,0.0,2,2.0,7.0,2.0,0.95
0,11,3.0,3.0,1.0,1.0,2550.0,0.0,1.0,0.0,0.0,1,1.0,8.0,2.0,1.5
0,14,4.0,4.0,3.0,1.0,3350.0,0.0,0.0,0.0,0.0,1,2.0,11.0,0.0,4.0
0,111,2.0,2.0,2.0,3.0,799.0,0.0,0.0,0.0,0.0,0,1.0,6.0,2.0,0.45
0,94,1.0,1.0,0.0,3.0,650.0,0.0,0.0,0.0,0.0,1,1.0,2.0,2.0,0.62
0,103,3.0,3.0,3.0,3.0,1736.0,0.0,1.0,0.0,1.0,1,2.0,11.0,2.0,1.15
